Loading weekly data: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 18/18 [00:07<00:00,  2.29it/s]
2025-12-11 22:44:50,594 - INFO - Epoch 16 | Train Loss: 0.510 | Val Loss: 0.564
2025-12-11 22:44:55,496 - INFO - Epoch 17 | Train Loss: 0.506 | Val Loss: 0.572
2025-12-11 22:45:00,637 - INFO - Epoch 18 | Train Loss: 0.499 | Val Loss: 0.575
2025-12-11 22:45:06,081 - INFO - Epoch 19 | Train Loss: 0.496 | Val Loss: 0.567
2025-12-11 22:45:12,224 - INFO - Epoch 20 | Train Loss: 0.493 | Val Loss: 0.604
2025-12-11 22:45:17,620 - INFO - Epoch 21 | Train Loss: 0.492 | Val Loss: 0.553
2025-12-11 22:45:22,818 - INFO - Epoch 22 | Train Loss: 0.485 | Val Loss: 0.551
2025-12-11 22:45:27,699 - INFO - Epoch 23 | Train Loss: 0.484 | Val Loss: 0.595
2025-12-11 22:45:32,470 - INFO - Epoch 24 | Train Loss: 0.483 | Val Loss: 0.567
2025-12-11 22:45:37,334 - INFO - Epoch 25 | Train Loss: 0.475 | Val Loss: 0.563
2025-12-11 22:45:42,211 - INFO - Epoch 26 | Train Loss: 0.476 | Val Loss: 0.562
2025-12-11 22:45:47,128 - INFO - Epoch 27 | Train Loss: 0.472 | Val Loss: 0.547
2025-12-11 22:45:51,930 - INFO - Epoch 28 | Train Loss: 0.469 | Val Loss: 0.577
2025-12-11 22:45:56,729 - INFO - Epoch 29 | Train Loss: 0.462 | Val Loss: 0.549
2025-12-11 22:46:01,784 - INFO - Epoch 30 | Train Loss: 0.459 | Val Loss: 0.564
2025-12-11 22:46:06,611 - INFO - Epoch 31 | Train Loss: 0.453 | Val Loss: 0.556
2025-12-11 22:46:11,394 - INFO - Epoch 32 | Train Loss: 0.454 | Val Loss: 0.556
2025-12-11 22:46:11,394 - INFO - Early stopping triggered at epoch 32.
2025-12-11 22:46:11,395 - INFO - Restored best model with val loss: 0.5467
2025-12-11 22:46:16,433 - INFO - ===== Final EPA Model Evaluation =====
2025-12-11 22:46:16,433 - INFO - Split             MAE     SmoothL1          MSE         RMSE
2025-12-11 22:46:16,433 - INFO - ------------------------------------------------------------
2025-12-11 22:46:16,433 - INFO - Train          0.7537       0.4467       1.6288       1.2762
2025-12-11 22:46:16,433 - INFO - Val            0.8690       0.5467       2.1284       1.4589
2025-12-11 22:46:16,433 - INFO - Test           0.9006       0.5844       2.3245       1.5246
2025-12-11 22:53:59,408 - INFO - ===== Baseline EPA Model Evaluation (Predicting Average EPA) =====
2025-12-11 22:53:59,408 - INFO - Split             MAE     SmoothL1          MSE         RMSE
2025-12-11 22:53:59,408 - INFO - ------------------------------------------------------------
2025-12-11 22:53:59,408 - INFO - All            1.2070       0.7899       2.7227       1.6500
2025-12-11 22:46:16,433 - INFO - Model training and evaluation complete, saving the model
