Endcoded dist to endzone and endzone approach rate as node features.

Loading weekly data: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 18/18 [00:07<00:00,  2.41it/s]
2025-12-13 13:48:15,680 - INFO - Epoch 15 | Train Loss: 0.535 | Val Loss: 0.584
2025-12-13 13:48:17,972 - INFO - Epoch 16 | Train Loss: 0.530 | Val Loss: 0.610
2025-12-13 13:48:20,245 - INFO - Epoch 17 | Train Loss: 0.525 | Val Loss: 0.572
2025-12-13 13:48:22,488 - INFO - Epoch 18 | Train Loss: 0.517 | Val Loss: 0.576
2025-12-13 13:48:24,674 - INFO - Epoch 19 | Train Loss: 0.518 | Val Loss: 0.587
2025-12-13 13:48:26,977 - INFO - Epoch 20 | Train Loss: 0.512 | Val Loss: 0.564
2025-12-13 13:48:29,216 - INFO - Epoch 21 | Train Loss: 0.505 | Val Loss: 0.556
2025-12-13 13:48:31,462 - INFO - Epoch 22 | Train Loss: 0.503 | Val Loss: 0.570
2025-12-13 13:48:33,665 - INFO - Epoch 23 | Train Loss: 0.504 | Val Loss: 0.582
2025-12-13 13:48:35,802 - INFO - Epoch 24 | Train Loss: 0.498 | Val Loss: 0.583
2025-12-13 13:48:38,037 - INFO - Epoch 25 | Train Loss: 0.491 | Val Loss: 0.557
2025-12-13 13:48:40,217 - INFO - Epoch 26 | Train Loss: 0.490 | Val Loss: 0.544
2025-12-13 13:48:42,467 - INFO - Epoch 27 | Train Loss: 0.480 | Val Loss: 0.559
2025-12-13 13:48:44,655 - INFO - Epoch 28 | Train Loss: 0.483 | Val Loss: 0.553
2025-12-13 13:48:46,879 - INFO - Epoch 29 | Train Loss: 0.480 | Val Loss: 0.562
2025-12-13 13:48:49,131 - INFO - Epoch 30 | Train Loss: 0.481 | Val Loss: 0.550
2025-12-13 13:48:51,348 - INFO - Epoch 31 | Train Loss: 0.470 | Val Loss: 0.537
2025-12-13 13:48:53,611 - INFO - Epoch 32 | Train Loss: 0.471 | Val Loss: 0.549
2025-12-13 13:48:55,881 - INFO - Epoch 33 | Train Loss: 0.468 | Val Loss: 0.551
2025-12-13 13:48:58,134 - INFO - Epoch 34 | Train Loss: 0.461 | Val Loss: 0.572
2025-12-13 13:49:00,381 - INFO - Epoch 35 | Train Loss: 0.463 | Val Loss: 0.540
2025-12-13 13:49:02,594 - INFO - Epoch 36 | Train Loss: 0.454 | Val Loss: 0.546
2025-12-13 13:49:02,594 - INFO - Early stopping triggered at epoch 36.
2025-12-13 13:49:02,594 - INFO - Restored best model with val loss: 0.5373
2025-12-13 13:49:04,445 - INFO - ===== Final EPA Model Evaluation =====
2025-12-13 13:49:04,445 - INFO - Split             MAE     SmoothL1          MSE         RMSE
2025-12-13 13:49:04,445 - INFO - ------------------------------------------------------------
2025-12-13 13:49:04,445 - INFO - Train          0.7602       0.4480       1.6268       1.2755
2025-12-13 13:49:04,445 - INFO - Val            0.8672       0.5373       2.0901       1.4457
2025-12-13 13:49:04,445 - INFO - Test           0.9280       0.6007       2.3245       1.5246
2025-12-13 13:49:04,445 - INFO - ===== Baseline EPA Model Evaluation (Predicting Average EPA) =====
2025-12-13 13:49:04,445 - INFO - Split             MAE     SmoothL1          MSE         RMSE
2025-12-13 13:49:04,445 - INFO - ------------------------------------------------------------
2025-12-13 13:49:04,446 - INFO - All            1.2071       0.7900       2.7228       1.6501
2025-12-13 13:49:04,446 - INFO - Model training and evaluation complete, saving the model
